word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
consensus,consensior,consensissimus,consense,consensus,consensi,consenso,consensum,consenso,consensa,consensae,consensae,consensam,consensa,consensum,consensi,consenso,consensum,consenso,consensi,consensorum,consensis,consensos,consensis,consensae,consensarum,consensis,consensas,consensis,consensa,consensorum,consensis,consensa,consensis
phoenix,phoenicior,phoenicissimus,phoeniciter,phoenix,phoenicis,phoenici,phoenicem,phoenice,phoenix,phoenicis,phoenici,phoenicem,phoenice,phoenix,phoenicis,phoenici,phoenix,phoenice,phoenices,phoenicum,phoenicibus,phoenices,phoenicibus,phoenices,phoenicum,phoenicibus,phoenices,phoenicibus,phoenica,phoenicum,phoenicibus,phoenica,phoenicibus
neuter,neutrior,neuterrimus,neutre,neuter,neutrius,neutri,neutrum,neutro,neutra,neutrius,neutri,neutram,neutra,neutrum,neutrius,neutri,neutrum,neutro,neutri,neutrorum,neutris,neutros,neutris,neutrae,neutrarum,neutris,neutras,neutris,neutra,neutrorum,neutris,neutra,neutris
anterior,anteriorior,anteriorissimus,anterioriter,anterior,anterioris,anteriori,anteriorem,anteriore,anterior,anterioris,anteriori,anteriorem,anteriore,anterius,anterioris,anteriori,anterius,anteriore,anteriores,anteriorum,anterioribus,anteriores,anterioribus,anteriores,anteriorum,anterioribus,anteriores,anterioribus,anteriora,anteriorum,anterioribus,anteriora,anterioribus
servus,servior,servissimus,serve,servus,servi,servo,servum,servo,serva,servae,servae,servam,serva,servum,servi,servo,servum,servo,servi,servorum,servis,servos,servis,servae,servarum,servis,servas,servis,serva,servorum,servis,serva,servis
exterior,exteriorior,exteriorissimus,exterioriter,exterior,exterioris,exteriori,exteriorem,exteriore,exterior,exterioris,exteriori,exteriorem,exteriore,exterius,exterioris,exteriori,exterius,exteriore,exteriores,exteriorum,exterioribus,exteriores,exterioribus,exteriores,exteriorum,exterioribus,exteriores,exterioribus,exteriora,exteriorum,exterioribus,exteriora,exterioribus
interior,interiorior,interiorissimus,interioriter,interior,interioris,interiori,interiorem,interiore,interior,interioris,interiori,interiorem,interiore,interius,interioris,interiori,interius,interiore,interiores,interiorum,interioribus,interiores,interioribus,interiores,interiorum,interioribus,interiores,interioribus,interiora,interiorum,interioribus,interiora,interioribus
complex,complicior,complicissimus,compliciter,complex,complicis,complici,complicem,complici,complex,complicis,complici,complicem,complici,complex,complicis,complici,complex,complici,complices,complicum,complicibus,complices,complicibus,complices,complicum,complicibus,complices,complicibus,complicia,complicum,complicibus,complicia,complicibus
integer,integrior,integerrimus,integre,integer,integri,integro,integrum,integro,integra,integrae,integrae,integram,integra,integrum,integri,integro,integrum,integro,integri,integrorum,integris,integros,integris,integrae,integrarum,integris,integras,integris,integra,integrorum,integris,integra,integris
unus,unior,unissimus,une,unus,unius,uni,unum,uno,una,unius,uni,unam,una,unum,unius,uni,unum,uno,uni,unorum,unis,unos,unis,unae,unarum,unis,unas,unis,una,unorum,unis,una,unis
foetus,foetior,foetissimus,foete,foetus,foeti,foeto,foetum,foeto,foeta,foetae,foetae,foetam,foeta,foetum,foeti,foeto,foetum,foeto,foeti,foetorum,foetis,foetos,foetis,foetae,foetarum,foetis,foetas,foetis,foeta,foetorum,foetis,foeta,foetis
alter,alterior,alterrimus,altere,alter,alterius,alteri,alterum,altero,altera,alterius,alteri,alteram,altera,alterum,alterius,alteri,alterum,altero,alteri,alterorum,alteris,alteros,alteris,alterae,alterarum,alteris,alteras,alteris,altera,alterorum,alteris,altera,alteris
accusabilis,accusabilior,accusabilissimus,accusabiliter,accusabilis,accusabilis,accusabili,accusabilem,accusabili,accusabilis,accusabilis,accusabili,accusabilem,accusabili,accusabile,accusabilis,accusabili,accusabile,accusabili,accusabiles,accusabilium,accusabilibus,accusabilis,accusabilibus,accusabiles,accusabilium,accusabilibus,accusabilis,accusabilibus,accusabilia,accusabilium,accusabilibus,accusabilia,accusabilibus
multicolor,multicolorior,multicolorissimus,multicoloriter,multicolor,multicoloris,multicolori,multicolorem,multicolori,multicolor,multicoloris,multicolori,multicolorem,multicolori,multicolor,multicoloris,multicolori,multicolor,multicolori,multicolores,multicolorium,multicoloribus,multicolores,multicoloribus,multicolores,multicolorium,multicoloribus,multicolores,multicoloribus,multicoloria,multicolorium,multicoloribus,multicoloria,multicoloribus
pauper,pauperior,pauperrimus,paupere,pauper,pauperis,pauperi,pauperem,paupere,pauper,pauperis,pauperi,pauperem,paupere,pauper,pauperis,pauperi,pauper,paupere,pauperes,pauperum,pauperibus,pauperes,pauperibus,pauperes,pauperum,pauperibus,pauperes,pauperibus,paupera,pauperum,pauperibus,paupera,pauperibus
